 Lista de Imóveis da Caixa;;Data de geração:;07/08/2026;;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
1,44441E+12;SP ;ADAMANTINA ;VILA JOAQUINA ;ALAMEDA PADRE ANCHIETA, N. 1159, LT 05 QD 16 ;300.600,00;501.000,00;40.00;Não;Casa, 0.00 de área total, 171.43 de área privativa, 384.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408501866
1,44442E+12;SP ;ADAMANTINA ;GOV MARIO COVAS ;RUA JOSE DE OLIVEIRA JUNIOR, N. 670, LT 09 QD O ;136.584,86;217.000,00;37.06;Não;Casa, 116.12 de área total, 116.12 de área privativa, 224.29 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421729441
8,44441E+12;SP ;AGUAS DE LINDOIA ;PARQUE DAS FONTES ; RUA CAMPOS DO JORDAO, N. 180, ;117.432,39;246.000,00;52.27;Não;Casa, 0.00 de área total, 52.89 de área privativa, 416.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405322578
1,44442E+12;SP ;AGUAS DE LINDOIA ;BAIRRO DOS PIMENTEIS ;RUA MARIO IVO RENZO, N. 134, ;183.546,52;288.000,00;36.27;Não;Casa, 50.90 de área total, 50.90 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421761531
8,44442E+12;SP ;AGUAS DE SANTA BARBARA ;CENTRO ;AVENIDA JOSE COSTA, N. 1640, QD 13 LT 13 ;83.135,75;142.000,00;41.46;Não;Casa, 40.17 de área total, 40.17 de área privativa, 125.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421916142
8,44443E+12;SP ;ALAMBARI ;LUAR DO SERTAO ;RUA SALADINO ANTONIO DE CAMPOS, N. 958, PARTE LT 42 ESTANCIA SANTA MARIA GLEBA ;153.385,38;50.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 193.24 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427243875
8,78771E+12;SP ;ALTINOPOLIS ;RESIDENCIAL E COMERCIAL FIGUEIREDO FELIP ;RUA HENRIQUE DE FIGUEIREDO DOBERMANN, N. 225, LT 51 QD 14 ;86.063,06;147.000,00;41.46;Não;Casa, 47.75 de área total, 47.75 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713989126
10006343;SP ;ALVARES MACHADO ;BREJÃO ;ESTRADA VICINAL, N. SN, GLEBA 05, RANCHO S.R. STELLA ;535.852,68;1.150.000,00;53.41;Não;Imóvel rural, 0.00 de área total, 886.00 de área privativa, 20000.00 de área do terreno, WC, 1 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10006343
8,44443E+12;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL UNIAO ;RUA JOAO DE AZEVEDO SOARES, N. 77, LOTE 15B QUADRA O ;36.016,46;62.000,00;41.91;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426871104
8,44443E+12;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA INGLES DE SOUZA, N. 674, QD L1, LT 18 ;33.692,81;58.000,00;41.91;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 126.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425904823
